날짜,어종,산지,규격,포장,수량,중량,평균가
2022-01-03,(활)전복,완도,10/11미,kg,79,1,"33,200"
2022-01-03,(활)전복,완도,10미,box,10,1,"65,000"
2022-01-03,(활)전복,완도,10미,kg,32,1,"32,000"
2022-01-03,(활)전복,완도,11/12미,kg,44,1,"30,600"
2022-01-03,(활)전복,완도,12/13미,kg,34,1,"29,700"
2022-01-03,(활)전복,완도,12미,kg,34,1,"30,700"
2022-01-03,(활)전복,완도,13미,kg,33,1,"19,700"
2022-01-03,(활)전복,완도,14미,kg,22,1,"15,000"
2022-01-03,(활)전복,완도,15미,kg,44,1,"17,500"
2022-01-03,(활)전복,완도,17미,kg,44,1,"17,000"
2022-01-03,(활)전복,완도,20미,kg,178,1,"21,200"
2022-01-03,(활)전복,완도,22미,kg,44,1,"16,000"
2022-01-03,(활)전복,완도,24/25미,kg,121,1,"22,200"
2022-01-03,(활)전복,완도,25/26미,kg,22,1,"20,000"
2022-01-03,(활)전복,완도,25미,kg,176,1,"14,600"
2022-01-03,(활)전복,완도,30미,kg,389,1,"14,200"
2022-01-03,(활)전복,완도,40미,kg,556,1,"9,400"
2022-01-03,(활)전복,완도,50미,kg,458,1,"8,200"
2022-01-03,(활)전복,완도,6/7미,kg,11,1,"61,000"
2022-01-03,(활)전복,완도,7/8미,kg,9,1,"55,000"
2022-01-04,(활)전복,완도,10/11미,kg,136,1,"32,100"
2022-01-04,(활)전복,완도,10미,kg,12,1,"30,000"
2022-01-04,(활)전복,완도,11/12미,kg,87,1,"29,300"
2022-01-04,(활)전복,완도,12/13미,kg,99,1,"28,800"
2022-01-04,(활)전복,완도,13/14미,kg,34,1,"29,000"
2022-01-04,(활)전복,완도,14/15미,kg,67,1,"27,800"
2022-01-04,(활)전복,완도,15/16미,kg,46,1,"27,500"
2022-01-04,(활)전복,완도,17/18미,kg,57,1,"26,800"
2022-01-04,(활)전복,완도,20미,kg,23,1,"26,000"
2022-01-04,(활)전복,완도,22미,kg,70,1,"25,000"
2022-01-04,(활)전복,완도,24/25미,kg,103,1,"23,300"
2022-01-04,(활)전복,완도,25/26미,kg,3,1,"24,000"
2022-01-04,(활)전복,완도,30/31미,kg,24,1,"20,500"
2022-01-04,(활)전복,완도,30미,kg,36,1,"20,000"
2022-01-04,(활)전복,완도,7/8미,kg,12,1,"52,000"
2022-01-04,(활)전복,완도,8/9미,kg,77,1,"37,700"
2022-01-04,(활)전복,완도,9/10미,kg,57,1,"36,300"
2022-01-04,(활)전복,완도,9미,kg,12,1,"47,000"
2022-01-05,(활)전복,완도,10/11미,kg,100,1,"30,600"
2022-01-05,(활)전복,완도,10미,kg,11,1,"28,500"
2022-01-05,(활)전복,완도,12미,kg,27,1,"29,600"
2022-01-05,(활)전복,완도,13/14미,kg,34,1,"28,700"
2022-01-05,(활)전복,완도,13미,kg,231,1,"22,400"
2022-01-05,(활)전복,완도,14/15미,kg,35,1,"29,000"
2022-01-05,(활)전복,완도,14미,kg,133,1,"21,600"
2022-01-05,(활)전복,완도,15미,kg,110,1,"18,000"
2022-01-05,(활)전복,완도,16미,kg,110,1,"18,000"
2022-01-05,(활)전복,완도,17/18미,kg,34,1,"28,000"
2022-01-05,(활)전복,완도,18/19미,kg,11,1,"28,000"
2022-01-05,(활)전복,완도,19/20미,kg,11,1,"28,000"
2022-01-05,(활)전복,완도,20미,kg,120,1,"16,900"
2022-01-05,(활)전복,완도,22미,kg,141,1,"25,000"
2022-01-05,(활)전복,완도,24/25미,kg,59,1,"23,800"
2022-01-05,(활)전복,완도,25/30미,kg,22,1,"15,000"
2022-01-05,(활)전복,완도,25미,kg,121,1,"16,000"
2022-01-05,(활)전복,완도,30/40미,kg,12,1,"12,000"
2022-01-05,(활)전복,완도,30미,kg,220,1,"14,400"
2022-01-05,(활)전복,완도,35/40미,kg,22,1,"7,000"
2022-01-07,(활)전복,완도,10/11미,kg,130,1,"28,700"
2022-01-07,(활)전복,완도,10미,kg,11,1,"38,000"
2022-01-07,(활)전복,완도,11/12미,kg,55,1,"29,600"
2022-01-07,(활)전복,완도,11미,kg,23,1,"30,500"
2022-01-07,(활)전복,완도,12/13미,kg,114,1,"27,400"
2022-01-07,(활)전복,완도,13/14미,kg,57,1,"26,500"
2022-01-07,(활)전복,완도,14/15미,kg,33,1,"25,600"
2022-01-07,(활)전복,완도,15/16미,kg,22,1,"27,000"
2022-01-07,(활)전복,완도,16/17미,kg,23,1,"27,000"
2022-01-07,(활)전복,완도,17/18미,kg,57,1,"25,000"
2022-01-07,(활)전복,완도,18/19미,kg,33,1,"18,000"
2022-01-07,(활)전복,완도,18미,kg,73,1,"18,800"
2022-01-07,(활)전복,완도,19/20미,kg,16,1,"24,900"
2022-01-07,(활)전복,완도,20미,kg,10,1,"18,000"
2022-01-07,(활)전복,완도,24/25미,kg,23,1,"24,000"
2022-01-07,(활)전복,완도,25/30미,kg,12,1,"22,000"
2022-01-07,(활)전복,완도,25미,kg,75,1,"19,200"
2022-01-07,(활)전복,완도,30/31미,kg,12,1,"22,000"
2022-01-07,(활)전복,완도,30미,kg,11,1,"13,000"
2022-01-07,(활)전복,완도,35/40미,kg,32,1,"5,000"
2022-01-08,(활)전복,완도,10/11미,kg,68,1,"32,800"
2022-01-08,(활)전복,완도,10미,kg,23,1,"33,500"
2022-01-08,(활)전복,완도,11/12미,kg,11,1,"24,000"
2022-01-08,(활)전복,완도,11미,kg,24,1,"32,000"
2022-01-08,(활)전복,완도,12/13미,kg,94,1,"29,700"
2022-01-08,(활)전복,완도,13/14미,kg,58,1,"28,600"
2022-01-08,(활)전복,완도,14/15미,kg,14,1,"28,000"
2022-01-08,(활)전복,완도,14미,kg,22,1,"28,300"
2022-01-08,(활)전복,완도,15/16미,kg,67,1,"28,100"
2022-01-08,(활)전복,완도,16/17미,kg,23,1,"27,500"
2022-01-10,(활)전복,완도,10/11미,kg,68,1,"32,500"
2022-01-10,(활)전복,완도,10미,kg,23,1,"34,600"
2022-01-10,(활)전복,완도,11미,kg,38,1,"32,000"
2022-01-10,(활)전복,완도,12/13미,kg,85,1,"29,100"
2022-01-10,(활)전복,완도,13/14미,kg,70,1,"28,500"
2022-01-10,(활)전복,완도,13미,kg,99,1,"22,300"
2022-01-10,(활)전복,완도,14/15미,kg,56,1,"28,200"
2022-01-10,(활)전복,완도,15/16미,kg,22,1,"27,500"
2022-01-10,(활)전복,완도,15미,kg,167,1,"21,000"
2022-01-10,(활)전복,완도,16/17미,kg,33,1,"27,000"
2022-01-10,(활)전복,완도,17/18미,kg,74,1,"26,000"
2022-01-10,(활)전복,완도,17미,kg,165,1,"19,000"
2022-01-10,(활)전복,완도,18/19미,kg,23,1,"27,000"
2022-01-10,(활)전복,완도,19/20미,kg,11,1,"27,000"
2022-01-10,(활)전복,완도,20미,kg,242,1,"17,500"
2022-01-10,(활)전복,완도,21/22미,kg,12,1,"24,000"
2022-01-10,(활)전복,완도,25미,kg,242,1,"15,000"
2022-01-10,(활)전복,완도,30미,kg,421,1,"12,600"
2022-01-10,(활)전복,완도,40미,kg,77,1,"13,000"
2022-01-10,(활)전복,완도,50미,kg,420,1,"10,000"
2022-01-11,(활)전복,완도,10/11미,kg,45,1,"33,300"
2022-01-11,(활)전복,완도,10미,kg,36,1,"36,500"
2022-01-11,(활)전복,완도,11/12미,kg,47,1,"31,200"
2022-01-11,(활)전복,완도,11미,kg,13,1,"32,000"
2022-01-11,(활)전복,완도,12/13미,kg,107,1,"29,800"
2022-01-11,(활)전복,완도,13/14미,kg,85,1,"28,900"
2022-01-11,(활)전복,완도,13미,kg,11,1,"23,000"
2022-01-11,(활)전복,완도,14/15미,kg,25,1,"28,000"
2022-01-11,(활)전복,완도,15/16미,kg,33,1,"27,700"
2022-01-11,(활)전복,완도,15미,kg,24,1,"24,700"
2022-01-11,(활)전복,완도,17/18미,kg,84,1,"26,300"
2022-01-11,(활)전복,완도,17미,kg,22,1,"20,000"
2022-01-11,(활)전복,완도,18/19미,kg,21,1,"28,000"
2022-01-11,(활)전복,완도,20미,kg,22,1,"20,000"
2022-01-11,(활)전복,완도,21/22미,kg,23,1,"24,000"
2022-01-11,(활)전복,완도,25미,kg,56,1,"18,700"
2022-01-11,(활)전복,완도,30미,kg,113,1,"16,500"
2022-01-11,(활)전복,완도,40/45미,kg,56,1,"7,500"
2022-01-11,(활)전복,완도,40/50미,kg,57,1,"7,000"
2022-01-11,(활)전복,완도,40미,kg,110,1,"11,000"
2022-01-12,(활)전복,완도,10/11미,kg,67,1,"30,900"
2022-01-12,(활)전복,완도,10미,kg,46,1,"37,100"
2022-01-12,(활)전복,완도,11/12미,kg,57,1,"31,400"
2022-01-12,(활)전복,완도,12/13미,kg,80,1,"30,400"
2022-01-12,(활)전복,완도,12미,kg,44,1,"25,000"
2022-01-12,(활)전복,완도,14/15미,kg,22,1,"28,500"
2022-01-12,(활)전복,완도,15/16미,kg,12,1,"30,000"
2022-01-12,(활)전복,완도,16/17미,kg,34,1,"27,300"
2022-01-12,(활)전복,완도,17/18미,kg,83,1,"26,400"
2022-01-12,(활)전복,완도,17미,kg,44,1,"22,000"
2022-01-12,(활)전복,완도,19/20미,kg,34,1,"25,000"
2022-01-12,(활)전복,완도,30/40미,kg,24,1,"16,000"
2022-01-12,(활)전복,완도,30미,kg,22,1,"16,000"
2022-01-12,(활)전복,완도,35/40미,kg,34,1,"13,700"
2022-01-12,(활)전복,완도,40/50미,kg,10,1,"15,000"
2022-01-12,(활)전복,완도,40미,kg,88,1,"14,000"
2022-01-12,(활)전복,완도,6/7미,kg,12,1,"40,000"
2022-01-12,(활)전복,완도,7/8미,kg,11,1,"59,000"
2022-01-12,(활)전복,완도,8/9미,kg,90,1,"35,100"
2022-01-12,(활)전복,완도,9미,kg,25,1,"43,000"
2022-01-13,(활)전복,완도,10/11미,kg,90,1,"31,400"
2022-01-13,(활)전복,완도,10미,kg,11,1,"27,000"
2022-01-13,(활)전복,완도,11/12미,kg,46,1,"31,100"
2022-01-13,(활)전복,완도,11미,kg,36,1,"31,800"
2022-01-13,(활)전복,완도,12/13미,kg,43,1,"24,700"
2022-01-13,(활)전복,완도,13/14미,kg,90,1,"28,300"
2022-01-13,(활)전복,완도,13미,kg,58,1,"25,800"
2022-01-13,(활)전복,완도,14미,kg,55,1,"24,800"
2022-01-13,(활)전복,완도,15/16미,kg,67,1,"27,400"
2022-01-13,(활)전복,완도,15미,kg,44,1,"22,000"
2022-01-13,(활)전복,완도,16/17미,kg,33,1,"27,000"
2022-01-13,(활)전복,완도,17/18미,kg,46,1,"26,200"
2022-01-13,(활)전복,완도,17미,kg,88,1,"20,000"
2022-01-13,(활)전복,완도,18/19미,kg,22,1,"26,500"
2022-01-13,(활)전복,완도,19/20미,kg,35,1,"25,600"
2022-01-13,(활)전복,완도,20미,kg,99,1,"18,000"
2022-01-13,(활)전복,완도,21/22미,kg,24,1,"24,500"
2022-01-13,(활)전복,완도,22미,kg,11,1,"25,000"
2022-01-13,(활)전복,완도,24/25미,kg,37,1,"24,000"
2022-01-13,(활)전복,완도,25/30미,kg,27,1,"18,000"
2022-01-14,(활)전복,완도,10/11미,kg,125,1,"32,500"
2022-01-14,(활)전복,완도,10미,kg,23,1,"38,000"
2022-01-14,(활)전복,완도,11/12미,kg,23,1,"31,500"
2022-01-14,(활)전복,완도,11미,kg,24,1,"33,000"
2022-01-14,(활)전복,완도,12/13미,kg,45,1,"28,800"
2022-01-14,(활)전복,완도,12미,kg,22,1,"25,000"
2022-01-14,(활)전복,완도,13/14미,kg,94,1,"27,000"
2022-01-14,(활)전복,완도,13미,kg,36,1,"30,000"
2022-01-14,(활)전복,완도,14/15미,kg,79,1,"28,000"
2022-01-14,(활)전복,완도,15/16미,kg,22,1,"26,500"
2022-01-14,(활)전복,완도,15미,kg,11,1,"23,000"
2022-01-14,(활)전복,완도,16/17미,kg,22,1,"26,500"
2022-01-14,(활)전복,완도,17/18미,kg,23,1,"26,800"
2022-01-14,(활)전복,완도,18미,kg,33,1,"22,000"
2022-01-14,(활)전복,완도,19/20미,kg,13,1,"25,000"
2022-01-14,(활)전복,완도,21/22미,kg,38,1,"24,300"
2022-01-14,(활)전복,완도,22미,kg,48,1,"26,000"
2022-01-14,(활)전복,완도,25/30미,kg,33,1,"18,000"
2022-01-14,(활)전복,완도,25미,kg,22,1,"20,000"
2022-01-14,(활)전복,완도,30/35미,kg,58,1,"12,000"
2022-01-15,(활)전복,완도,10/11미,kg,45,1,"34,000"
2022-01-15,(활)전복,완도,10미,kg,34,1,"35,000"
2022-01-15,(활)전복,완도,11/12미,kg,22,1,"31,000"
2022-01-15,(활)전복,완도,12/13미,kg,56,1,"29,600"
2022-01-15,(활)전복,완도,12미,kg,33,1,"25,000"
2022-01-15,(활)전복,완도,13/14미,kg,56,1,"27,400"
2022-01-15,(활)전복,완도,13미,kg,35,1,"26,600"
2022-01-15,(활)전복,완도,14/15미,kg,66,1,"28,300"
2022-01-15,(활)전복,완도,14미,kg,22,1,"23,000"
2022-01-15,(활)전복,완도,15/16미,kg,22,1,"26,700"
2022-01-15,(활)전복,완도,15미,kg,66,1,"21,700"
2022-01-15,(활)전복,완도,17/18미,kg,113,1,"24,500"
2022-01-15,(활)전복,완도,17미,kg,44,1,"20,000"
2022-01-15,(활)전복,완도,18/19미,kg,42,1,"26,700"
2022-01-15,(활)전복,완도,18미,kg,33,1,"20,000"
2022-01-15,(활)전복,완도,20미,kg,44,1,"18,000"
2022-01-15,(활)전복,완도,25/30미,kg,79,1,"11,800"
2022-01-15,(활)전복,완도,25미,kg,88,1,"17,000"
2022-01-15,(활)전복,완도,30/31미,kg,23,1,"18,000"
2022-01-15,(활)전복,완도,30/35미,kg,45,1,"10,700"
2022-01-17,(활)전복,완도,10/11미,kg,58,1,"32,500"
2022-01-17,(활)전복,완도,10미,kg,11,1,"35,000"
2022-01-17,(활)전복,완도,11미,kg,23,1,"28,500"
2022-01-17,(활)전복,완도,12/13미,kg,44,1,"28,600"
2022-01-17,(활)전복,완도,12미,kg,23,1,"28,500"
2022-01-17,(활)전복,완도,13/14미,kg,36,1,"28,000"
2022-01-17,(활)전복,완도,13미,kg,11,1,"23,000"
2022-01-17,(활)전복,완도,14/15미,kg,79,1,"26,900"
2022-01-17,(활)전복,완도,14미,kg,23,1,"28,300"
2022-01-17,(활)전복,완도,15/16미,kg,56,1,"25,400"
2022-01-17,(활)전복,완도,15미,kg,45,1,"25,800"
2022-01-17,(활)전복,완도,16/17미,kg,34,1,"26,500"
2022-01-17,(활)전복,완도,17/18미,kg,56,1,"26,600"
2022-01-17,(활)전복,완도,17미,kg,22,1,"21,000"
2022-01-17,(활)전복,완도,18/19미,kg,23,1,"23,500"
2022-01-17,(활)전복,완도,19/20미,kg,69,1,"25,700"
2022-01-17,(활)전복,완도,20미,kg,33,1,"21,000"
2022-01-17,(활)전복,완도,21/22미,kg,45,1,"25,000"
2022-01-17,(활)전복,완도,24/25미,kg,34,1,"23,500"
2022-01-17,(활)전복,완도,25/30미,kg,21,1,"8,000"
2022-01-18,(냉)전복,완도,중,S/P,19,1,"2,000"
2022-01-18,(활)전복,완도,10/11미,kg,46,1,"34,300"
2022-01-18,(활)전복,완도,10미,kg,11,1,"38,000"
2022-01-18,(활)전복,완도,11/12미,kg,24,1,"31,500"
2022-01-18,(활)전복,완도,12/13미,kg,23,1,"29,000"
2022-01-18,(활)전복,완도,12미,kg,44,1,"24,000"
2022-01-18,(활)전복,완도,13/14미,kg,79,1,"25,400"
2022-01-18,(활)전복,완도,13미,kg,33,1,"23,000"
2022-01-18,(활)전복,완도,14/15미,kg,102,1,"24,500"
2022-01-18,(활)전복,완도,15/16미,kg,34,1,"25,400"
2022-01-18,(활)전복,완도,15미,kg,143,1,"22,000"
2022-01-18,(활)전복,완도,17/18미,kg,47,1,"24,500"
2022-01-18,(활)전복,완도,17미,kg,154,1,"18,900"
2022-01-18,(활)전복,완도,19/20미,kg,24,1,"26,000"
2022-01-18,(활)전복,완도,21/22미,kg,49,1,"26,000"
2022-01-18,(활)전복,완도,24/25미,kg,37,1,"24,000"
2022-01-18,(활)전복,완도,30미,kg,66,1,"12,300"
2022-01-18,(활)전복,완도,4/5미,kg,11,1,"73,000"
2022-01-18,(활)전복,완도,40/50미,kg,34,1,"7,400"
2022-01-18,(활)전복,완도,40미,kg,138,1,"11,200"
2022-01-19,(활)전복,완도,10/11미,kg,113,1,"33,300"
2022-01-19,(활)전복,완도,10미,kg,11,1,"38,000"
2022-01-19,(활)전복,완도,11/12미,kg,57,1,"29,800"
2022-01-19,(활)전복,완도,12/13미,kg,58,1,"29,200"
2022-01-19,(활)전복,완도,13/14미,kg,90,1,"26,800"
2022-01-19,(활)전복,완도,13미,kg,11,1,"23,000"
2022-01-19,(활)전복,완도,14/15미,kg,61,1,"22,800"
2022-01-19,(활)전복,완도,15/16미,kg,56,1,"18,200"
2022-01-19,(활)전복,완도,16/17미,kg,33,1,"23,600"
2022-01-19,(활)전복,완도,16미,kg,25,1,"26,000"
2022-01-19,(활)전복,완도,17/18미,kg,59,1,"22,500"
2022-01-19,(활)전복,완도,19/20미,kg,38,1,"26,000"
2022-01-19,(활)전복,완도,20미,kg,22,1,"23,000"
2022-01-19,(활)전복,완도,21/22미,kg,25,1,"25,000"
2022-01-19,(활)전복,완도,24/25미,kg,38,1,"24,000"
2022-01-19,(활)전복,완도,25미,kg,88,1,"20,500"
2022-01-19,(활)전복,완도,30미,kg,66,1,"16,300"
2022-01-19,(활)전복,완도,35/40미,kg,58,1,"7,700"
2022-01-19,(활)전복,완도,35미,kg,56,1,"7,600"
2022-01-19,(활)전복,완도,4/5미,kg,22,1,"72,000"
2022-01-20,(활)전복,완도,10/11미,kg,45,1,"32,100"
2022-01-20,(활)전복,완도,10미,kg,23,1,"38,500"
2022-01-20,(활)전복,완도,11/12미,kg,24,1,"32,500"
2022-01-20,(활)전복,완도,12/13미,kg,42,1,"29,100"
2022-01-20,(활)전복,완도,13/14미,kg,34,1,"28,400"
2022-01-20,(활)전복,완도,13미,kg,81,1,"27,600"
2022-01-20,(활)전복,완도,14/15미,kg,22,1,"28,000"
2022-01-20,(활)전복,완도,14미,kg,22,1,"28,000"
2022-01-20,(활)전복,완도,15/16미,kg,23,1,"26,500"
2022-01-20,(활)전복,완도,16/17미,kg,44,1,"26,500"
2022-01-20,(활)전복,완도,16미,kg,25,1,"26,000"
2022-01-20,(활)전복,완도,17미,kg,22,1,"22,000"
2022-01-20,(활)전복,완도,19/20미,kg,12,1,"26,000"
2022-01-20,(활)전복,완도,20미,kg,22,1,"22,000"
2022-01-20,(활)전복,완도,22미,kg,34,1,"24,000"
2022-01-20,(활)전복,완도,24/25미,kg,25,1,"24,000"
2022-01-20,(활)전복,완도,25/30미,kg,33,1,"7,000"
2022-01-20,(활)전복,완도,25미,kg,56,1,"21,200"
2022-01-20,(활)전복,완도,30미,kg,114,1,"12,200"
2022-01-20,(활)전복,완도,35미,kg,12,1,"11,000"
2022-01-21,(활)전복,완도,10/11미,kg,112,1,"30,300"
2022-01-21,(활)전복,완도,10미,kg,33,1,"32,300"
2022-01-21,(활)전복,완도,11/12미,kg,45,1,"29,600"
2022-01-21,(활)전복,완도,12/13미,kg,79,1,"28,900"
2022-01-21,(활)전복,완도,12미,kg,77,1,"25,400"
2022-01-21,(활)전복,완도,13/14미,kg,114,1,"28,000"
2022-01-21,(활)전복,완도,14/15미,kg,83,1,"27,400"
2022-01-21,(활)전복,완도,15/16미,kg,44,1,"26,800"
2022-01-21,(활)전복,완도,16미,kg,24,1,"27,300"
2022-01-21,(활)전복,완도,17/18미,kg,70,1,"26,400"
2022-01-21,(활)전복,완도,17미,kg,33,1,"22,000"
2022-01-21,(활)전복,완도,18/19미,kg,23,1,"26,000"
2022-01-21,(활)전복,완도,18미,kg,44,1,"22,000"
2022-01-21,(활)전복,완도,19/20미,kg,23,1,"26,000"
2022-01-21,(활)전복,완도,20미,kg,66,1,"21,000"
2022-01-21,(활)전복,완도,21/22미,kg,23,1,"24,800"
2022-01-21,(활)전복,완도,22미,kg,45,1,"23,000"
2022-01-21,(활)전복,완도,24/25미,kg,23,1,"23,300"
2022-01-21,(활)전복,완도,30/40미,kg,10,1,"13,000"
2022-01-21,(활)전복,완도,30미,kg,56,1,"15,200"
2022-01-22,(활)전복,완도,10/11미,kg,88,1,"30,500"
2022-01-22,(활)전복,완도,10미,kg,22,1,"33,500"
2022-01-22,(활)전복,완도,11/12미,kg,56,1,"26,400"
2022-01-22,(활)전복,완도,12/13미,kg,78,1,"25,900"
2022-01-22,(활)전복,완도,13/14미,kg,113,1,"21,800"
2022-01-22,(활)전복,완도,13미,kg,77,1,"24,000"
2022-01-22,(활)전복,완도,14/15미,kg,224,1,"26,500"
2022-01-22,(활)전복,완도,15/16미,kg,57,1,"27,400"
2022-01-22,(활)전복,완도,15미,kg,110,1,"23,000"
2022-01-22,(활)전복,완도,17/18미,kg,59,1,"22,400"
2022-01-22,(활)전복,완도,17미,kg,88,1,"20,000"
2022-01-22,(활)전복,완도,18/19미,kg,34,1,"26,000"
2022-01-22,(활)전복,완도,18미,kg,143,1,"20,000"
2022-01-22,(활)전복,완도,20/21미,kg,59,1,"26,000"
2022-01-22,(활)전복,완도,20미,kg,110,1,"18,000"
2022-01-22,(활)전복,완도,21/22미,kg,23,1,"26,000"
