날짜,어종,산지,규격,포장,수량,중량,평균가
2017-01-03,(활)암꽃게,진도,대,kg,200,1.0,32300
2017-01-04,(활)암꽃게,진도,대,kg,220,1.0,28700
2017-01-05,(활)암꽃게,진도,대,kg,130,1.0,32900
2017-01-06,(활)암꽃게,진도,대,kg,205,1.0,27800
2017-01-07,(활)암꽃게,진도,대,kg,50,1.0,35500
2017-01-09,(활)암꽃게,진도,대,kg,70,1.0,38000
2017-01-10,(활)암꽃게,진도,대,kg,250,1.0,34400
2017-01-11,(활)암꽃게,진도,대,kg,100,1.0,37000
2017-01-14,(활)암꽃게,진도,대,kg,130,1.0,35700
2017-02-10,(활)암꽃게,진도,대,kg,6,1.0,32000
2017-02-15,(활)암꽃게,진도,대,kg,100,1.0,35000
2017-02-16,(활)암꽃게,진도,대,kg,70,1.0,27100
2017-02-17,(활)암꽃게,진도,대,kg,110,1.0,31000
2017-02-18,(활)암꽃게,진도,대,kg,358,1.0,21800
2017-03-07,(활)암꽃게,진도,대,kg,40,1.0,25500
2017-03-16,(활)암꽃게,진도,대,kg,200,1.0,35000
2017-03-18,(활)암꽃게,진도,대,kg,90,1.0,38500
2017-03-20,(활)암꽃게,진도,대,kg,98,1.0,35200
2017-03-21,(활)암꽃게,진도,대,kg,539,1.0,30400
2017-03-22,(활)암꽃게,진도,대,kg,110,1.0,33000
2017-03-23,(활)암꽃게,진도,대,kg,148,1.0,31500
2017-03-27,(활)암꽃게,진도,대,kg,370,1.0,35200
2017-03-28,(활)암꽃게,진도,대,kg,530,1.0,33300
2017-03-29,(활)암꽃게,진도,대,kg,570,1.0,32100
2017-03-30,(활)암꽃게,진도,대,kg,290,1.0,32900
2017-03-31,(활)암꽃게,진도,대,kg,1045,1.0,29900
2017-04-01,(활)암꽃게,진도,대,kg,1355,1.0,29500
2017-04-03,(활)암꽃게,진도,대,kg,945,1.0,24000
2017-04-04,(활)암꽃게,진도,대,kg,410,1.0,27800
2017-04-05,(활)암꽃게,진도,대,kg,955,1.0,26900
2017-04-06,(활)암꽃게,진도,대,kg,400,1.0,33600
2017-04-07,(활)암꽃게,진도,대,kg,450,1.0,39000
2017-04-10,(활)암꽃게,진도,대,kg,577,1.0,45200
2017-04-11,(활)암꽃게,진도,대,kg,526,1.0,39100
2017-04-12,(활)암꽃게,진도,대,kg,530,1.0,34700
2017-04-13,(활)암꽃게,진도,대,kg,338,1.0,37600
2017-04-14,(활)암꽃게,진도,대,kg,576,1.0,36900
2017-04-15,(활)암꽃게,진도,대,kg,1180,1.0,39600
2017-04-17,(활)암꽃게,진도,대,kg,520,1.0,40500
2017-04-18,(활)암꽃게,진도,대,kg,520,1.0,41100
2017-04-19,(활)암꽃게,진도,대,kg,815,1.0,41200
2017-04-20,(활)암꽃게,진도,대,kg,790,1.0,43400
2017-04-21,(활)암꽃게,진도,대,kg,684,1.0,46100
2017-04-22,(활)암꽃게,진도,대,kg,786,1.0,48200
2017-04-24,(활)암꽃게,진도,대,kg,917,1.0,41000
2017-04-26,(활)암꽃게,진도,대,kg,1272,1.0,36900
2017-05-02,(활)암꽃게,진도,대,kg,507,1.0,44400
2017-05-06,(활)암꽃게,진도,대,kg,200,1.0,48600
2017-05-22,(활)암꽃게,진도,대,kg,478,1.0,38300
2017-05-30,(활)암꽃게,진도,대,kg,110,1.0,38000
2017-06-06,(활)암꽃게,진도,대,kg,120,1.0,39300
2017-06-13,(활)암꽃게,진도,대,kg,110,1.0,33600
2017-06-15,(활)암꽃게,진도,대,kg,280,1.0,33400
2017-06-16,(활)암꽃게,진도,대,kg,261,1.0,36800
2017-06-17,(활)암꽃게,진도,대,kg,61,1.0,38300
2017-06-19,(활)암꽃게,진도,대,kg,90,1.0,38100
2017-06-20,(활)암꽃게,진도,대,kg,100,1.0,37500
2017-06-21,(활)암꽃게,진도,대,kg,70,1.0,37600
2017-10-31,(활)암꽃게,진도,대,kg,290,1.0,19900
2017-11-15,(활)암꽃게,진도,대,kg,719,1.0,14900
2017-11-16,(활)암꽃게,진도,대,kg,340,1.0,19600
2017-11-17,(활)암꽃게,진도,대,kg,804,1.0,15800
2017-11-20,(활)암꽃게,진도,대,kg,160,1.0,20300
2017-11-21,(활)암꽃게,진도,대,kg,180,1.0,20200
2017-11-22,(활)암꽃게,진도,대,kg,780,1.0,18000
2017-11-24,(활)암꽃게,진도,대,kg,517,1.0,19300
2017-11-27,(활)암꽃게,진도,대,kg,347,1.0,20100
2017-11-28,(활)암꽃게,진도,대,kg,592,1.0,14300
2017-11-29,(활)암꽃게,진도,대,kg,340,1.0,18400
2017-11-30,(활)암꽃게,진도,대,kg,299,1.0,17100
2017-12-01,(활)암꽃게,진도,대,kg,543,1.0,19300
2017-12-05,(활)암꽃게,진도,대,kg,408,1.0,17100
2017-12-06,(활)암꽃게,진도,대,kg,540,1.0,13000
2017-12-09,(활)암꽃게,진도,대,kg,57,1.0,29900
2017-12-11,(활)암꽃게,진도,대,kg,100,1.0,30000
2017-12-12,(활)암꽃게,진도,대,kg,140,1.0,26100
2017-12-14,(활)암꽃게,진도,대,kg,110,1.0,33000
2017-12-15,(활)암꽃게,진도,대,kg,10,1.0,33000
2017-12-16,(활)암꽃게,진도,대,kg,80,1.0,28800
2017-12-18,(활)암꽃게,진도,대,kg,105,1.0,27800
2017-12-20,(활)암꽃게,진도,대,kg,98,1.0,25200
2017-12-22,(활)암꽃게,진도,대,kg,220,1.0,26800
2017-12-23,(활)암꽃게,진도,대,kg,508,1.0,19500
2017-12-25,(활)암꽃게,진도,대,kg,470,1.0,19700
2017-12-26,(활)암꽃게,진도,대,kg,480,1.0,19100
2017-12-27,(활)암꽃게,진도,대,kg,230,1.0,20000
2018-01-09,(활)암꽃게,진도,대,kg,60,1.0,33000
2018-01-12,(활)암꽃게,진도,대,kg,270,1.0,24500
2018-03-24,(활)암꽃게,진도,대,kg,119,1.0,39600
2018-03-26,(활)암꽃게,진도,대,kg,264,1.0,37200
2018-03-27,(활)암꽃게,진도,대,kg,73,1.0,31700
2018-03-28,(활)암꽃게,진도,대,kg,80,1.0,37600
2018-03-29,(활)암꽃게,진도,대,kg,50,1.0,41600
2018-03-30,(활)암꽃게,진도,대,kg,225,1.0,42800
2018-03-31,(활)암꽃게,진도,대,kg,388,1.0,40500
2018-04-02,(활)암꽃게,진도,대,kg,390,1.0,31800
2018-04-03,(활)암꽃게,진도,대,kg,239,1.0,31400
2018-04-04,(활)암꽃게,진도,대,kg,350,1.0,31600
2018-04-05,(활)암꽃게,진도,대,kg,94,1.0,37100
2018-04-06,(활)암꽃게,진도,대,kg,94,1.0,37500
2018-04-07,(활)암꽃게,진도,대,kg,180,1.0,36200
2018-04-10,(활)암꽃게,진도,대,kg,20,1.0,41000
2018-04-11,(활)암꽃게,진도,대,kg,89,1.0,35000
2018-04-12,(활)암꽃게,진도,대,kg,80,1.0,45300
2018-04-13,(활)암꽃게,진도,대,kg,13,1.0,45500
2018-04-14,(활)암꽃게,진도,대,kg,691,1.0,45900
2018-04-16,(활)암꽃게,진도,대,kg,30,1.0,35000
2018-04-20,(활)암꽃게,진도,대,kg,825,1.0,33700
2018-04-24,(활)암꽃게,진도,대,kg,676,1.0,29100
2018-04-25,(활)암꽃게,진도,대,kg,875,1.0,32700
2018-04-26,(활)암꽃게,진도,대,kg,190,1.0,37000
2018-04-27,(활)암꽃게,진도,대,kg,318,1.0,41400
2018-05-01,(활)암꽃게,진도,대,kg,270,1.0,39900
2018-05-02,(활)암꽃게,진도,대,kg,340,1.0,34400
2018-05-03,(활)암꽃게,진도,대,kg,100,1.0,35800
2018-05-04,(활)암꽃게,진도,대,kg,147,1.0,44200
2018-05-05,(활)암꽃게,진도,대,kg,118,1.0,43600
2018-05-18,(활)암꽃게,진도,대,kg,40,1.0,38000
2018-05-28,(활)암꽃게,진도,대,kg,230,1.0,35900
2018-06-05,(활)암꽃게,진도,대,kg,70,1.0,38000
2018-06-07,(활)암꽃게,진도,대,kg,10,1.0,38000
2018-06-08,(활)암꽃게,진도,대,kg,7,1.0,40000
2018-10-10,(활)암꽃게,진도,대,kg,90,1.0,15200
2018-10-12,(활)암꽃게,진도,대,kg,10,1.0,21600
2018-10-13,(활)암꽃게,진도,대,kg,190,1.0,19000
2018-10-18,(활)암꽃게,진도,대,kg,328,1.0,15800
2018-10-24,(활)암꽃게,진도,대,kg,220,1.0,16800
2018-10-29,(활)암꽃게,진도,대,kg,380,1.0,30000
2018-10-31,(활)암꽃게,진도,대,kg,200,1.0,22300
2018-11-06,(활)암꽃게,진도,대,kg,30,1.0,13000
2018-11-08,(활)암꽃게,진도,대,kg,20,1.0,28000
2018-11-09,(활)암꽃게,진도,대,kg,60,1.0,26300
2018-11-14,(활)암꽃게,진도,대,kg,140,1.0,20600
2018-11-16,(활)암꽃게,진도,대,kg,70,1.0,32700
2018-11-19,(활)암꽃게,진도,대,kg,40,1.0,24500
2018-11-20,(활)암꽃게,진도,대,kg,30,1.0,30000
2018-11-21,(활)암꽃게,진도,대,kg,25,1.0,30000
2018-11-22,(활)암꽃게,진도,대,kg,25,1.0,27800
2018-11-23,(활)암꽃게,진도,대,kg,30,1.0,31500
2018-11-26,(활)암꽃게,진도,대,kg,7,1.0,25000
2018-11-27,(활)암꽃게,진도,대,kg,90,1.0,26000
2018-11-28,(활)암꽃게,진도,대,kg,5,1.0,26000
2018-11-29,(활)암꽃게,진도,대,kg,200,1.0,29800
2018-12-01,(활)암꽃게,진도,대,kg,80,1.0,32300
2018-12-03,(활)암꽃게,진도,대,kg,507,1.0,23600
2018-12-04,(활)암꽃게,진도,대,kg,410,1.0,23100
2018-12-05,(활)암꽃게,진도,대,kg,230,1.0,16300
2018-12-08,(활)암꽃게,진도,대,kg,40,1.0,16000
2018-12-12,(활)암꽃게,진도,대,kg,90,1.0,31600
2018-12-13,(활)암꽃게,진도,대,kg,90,1.0,36000
2018-12-14,(활)암꽃게,진도,대,kg,260,1.0,30100
2018-12-19,(활)암꽃게,진도,대,kg,50,1.0,36100
2018-12-20,(활)암꽃게,진도,대,kg,95,1.0,13800
2018-12-22,(활)암꽃게,진도,대,kg,20,1.0,23500
2019-03-11,(활)암꽃게,진도,대,kg,40,1.0,41000
2019-03-13,(활)암꽃게,진도,대,kg,80,1.0,38700
2019-03-16,(활)암꽃게,진도,대,kg,95,1.0,45900
2019-03-19,(활)암꽃게,진도,대,kg,70,1.0,47900
2019-03-20,(활)암꽃게,진도,대,kg,60,1.0,49000
2019-03-21,(활)암꽃게,진도,대,kg,50,1.0,51700
2019-03-22,(활)암꽃게,진도,대,kg,520,1.0,44900
2019-03-23,(활)암꽃게,진도,대,kg,40,1.0,35000
2019-03-25,(활)암꽃게,진도,대,kg,230,1.0,38600
2019-03-26,(활)암꽃게,진도,대,kg,100,1.0,37500
2019-03-27,(활)암꽃게,진도,대,kg,190,1.0,39800
2019-03-28,(활)암꽃게,진도,대,kg,444,1.0,40400
2019-03-29,(활)암꽃게,진도,대,kg,193,1.0,40000
2019-03-30,(활)암꽃게,진도,대,kg,170,1.0,49500
2019-04-01,(활)암꽃게,진도,대,kg,310,1.0,46900
2019-04-04,(활)암꽃게,진도,대,kg,227,1.0,49900
2019-04-06,(활)암꽃게,진도,대,kg,480,1.0,51100
2019-04-08,(활)암꽃게,진도,대,kg,700,1.0,40900
2019-04-09,(활)암꽃게,진도,대,kg,365,1.0,40000
2019-04-10,(활)암꽃게,진도,대,kg,430,1.0,41300
2019-04-11,(활)암꽃게,진도,대,kg,225,1.0,37100
2019-04-12,(활)암꽃게,진도,대,kg,201,1.0,45200
2019-04-13,(활)암꽃게,진도,대,kg,441,1.0,48300
2019-04-15,(활)암꽃게,진도,대,kg,356,1.0,47800
2019-04-16,(활)암꽃게,진도,대,kg,160,1.0,47100
2019-04-17,(활)암꽃게,진도,대,kg,265,1.0,48000
2019-04-18,(활)암꽃게,진도,대,kg,479,1.0,49700
2019-04-19,(활)암꽃게,진도,대,kg,668,1.0,44800
2019-04-20,(활)암꽃게,진도,대,kg,528,1.0,45800
2019-04-22,(활)암꽃게,진도,대,kg,269,1.0,39500
2019-04-23,(활)암꽃게,진도,대,kg,45,1.0,41700
2019-04-24,(활)암꽃게,진도,대,kg,38,1.0,42500
2019-04-25,(활)암꽃게,진도,대,kg,70,1.0,43400
2019-04-26,(활)암꽃게,진도,대,kg,365,1.0,50600
2019-04-27,(활)암꽃게,진도,대,kg,503,1.0,56600
2019-04-29,(활)암꽃게,진도,대,kg,307,1.0,46000
2019-04-30,(활)암꽃게,진도,대,kg,276,1.0,52300
2019-05-01,(활)암꽃게,진도,대,kg,160,1.0,59200
2019-05-02,(활)암꽃게,진도,대,kg,560,1.0,56200
2019-05-03,(활)암꽃게,진도,대,kg,674,1.0,56300
2019-05-04,(활)암꽃게,진도,대,kg,940,1.0,53600
2019-05-06,(활)암꽃게,진도,대,kg,220,1.0,45100
2019-05-07,(활)암꽃게,진도,대,kg,73,1.0,41800
2019-05-08,(활)암꽃게,진도,대,kg,50,1.0,46000
2019-05-09,(활)암꽃게,진도,대,kg,130,1.0,47500
2019-05-11,(활)암꽃게,진도,대,kg,336,1.0,47100
2019-05-14,(활)암꽃게,진도,대,kg,430,1.0,45600
2019-05-15,(활)암꽃게,진도,대,kg,420,1.0,46100
2019-05-16,(활)암꽃게,진도,대,kg,110,1.0,50100
2019-05-17,(활)암꽃게,진도,대,kg,190,1.0,49900
2019-05-22,(활)암꽃게,진도,대,kg,160,1.0,47000
2019-05-25,(활)암꽃게,진도,대,kg,150,1.0,48500
2019-05-27,(활)암꽃게,진도,대,kg,257,1.0,36000
2019-05-28,(활)암꽃게,진도,대,kg,55,1.0,46500
2019-06-01,(활)암꽃게,진도,대,kg,90,1.0,42400
2019-06-06,(활)암꽃게,진도,대,kg,50,1.0,38700
2019-06-14,(활)암꽃게,진도,대,kg,15,1.0,41000
2019-10-16,(활)암꽃게,진도,대,kg,250,1.0,17200
2019-10-23,(활)암꽃게,진도,대,kg,10,1.0,25500
2019-10-25,(활)암꽃게,진도,대,kg,60,1.0,26000
2019-11-04,(활)암꽃게,진도,대,kg,931,1.0,23700
2019-11-06,(활)암꽃게,진도,대,kg,90,1.0,26000
2019-11-07,(활)암꽃게,진도,대,kg,179,1.0,28800
2019-11-08,(활)암꽃게,진도,대,kg,450,1.0,32500
2019-11-09,(활)암꽃게,진도,대,kg,420,1.0,39500
2019-11-11,(활)암꽃게,진도,대,kg,506,1.0,21500
2019-11-12,(활)암꽃게,진도,대,kg,754,1.0,26500
2019-11-13,(활)암꽃게,진도,대,kg,1264,1.0,21800
2019-11-16,(활)암꽃게,진도,대,kg,400,1.0,18300
2019-11-18,(활)암꽃게,진도,대,kg,270,1.0,19900
2019-11-20,(활)암꽃게,진도,대,kg,420,1.0,22200
2019-11-21,(활)암꽃게,진도,대,kg,200,1.0,28400
2019-11-22,(활)암꽃게,진도,대,kg,104,1.0,30000
2019-11-23,(활)암꽃게,진도,대,kg,188,1.0,31500
2019-11-25,(활)암꽃게,진도,대,kg,30,1.0,25000
2019-11-26,(활)암꽃게,진도,대,kg,340,1.0,23900
2019-11-27,(활)암꽃게,진도,대,kg,310,1.0,26500
2019-11-28,(활)암꽃게,진도,대,kg,50,1.0,34200
2019-11-29,(활)암꽃게,진도,대,kg,40,1.0,36300
2019-12-02,(활)암꽃게,진도,대,kg,48,1.0,30000
2019-12-03,(활)암꽃게,진도,대,kg,145,1.0,25600
2019-12-04,(활)암꽃게,진도,대,kg,64,1.0,29800
2019-12-06,(활)암꽃게,진도,대,kg,25,1.0,38000
2019-12-07,(활)암꽃게,진도,대,kg,20,1.0,28000
2019-12-09,(활)암꽃게,진도,대,kg,50,1.0,34000
2019-12-11,(활)암꽃게,진도,대,kg,4,1.0,10000
2019-12-12,(활)암꽃게,진도,대,kg,80,1.0,34900
2019-12-13,(활)암꽃게,진도,대,kg,100,1.0,35500
2019-12-25,(활)암꽃게,진도,대,kg,85,1.0,45300
2019-12-27,(활)암꽃게,진도,대,kg,80,1.0,26000
2019-12-30,(활)암꽃게,진도,대,kg,25,1.0,47200
2019-12-31,(활)암꽃게,진도,대,kg,60,1.0,46500
2020-01-04,(활)암꽃게,진도,대,kg,66,1.0,50500
2020-01-06,(활)암꽃게,진도,대,kg,23,1.0,48000
2020-01-08,(활)암꽃게,진도,대,kg,17,1.0,47400
2020-01-13,(활)암꽃게,진도,대,kg,78,1.0,53800
2020-01-18,(활)암꽃게,진도,대,kg,58,1.0,49300
2020-01-20,(활)암꽃게,진도,대,kg,46,1.0,51200
2020-01-23,(활)암꽃게,진도,대,kg,50,1.0,51600
2020-02-14,(활)암꽃게,진도,대,kg,30,1.0,40000
2020-03-03,(활)암꽃게,진도,대,kg,146,1.0,37300
2020-03-05,(활)암꽃게,진도,대,kg,20,1.0,35000
2020-03-09,(활)암꽃게,진도,대,kg,30,1.0,39000
2020-03-12,(활)암꽃게,진도,대,kg,240,1.0,40200
2020-03-14,(활)암꽃게,진도,대,kg,90,1.0,45400
2020-03-17,(활)암꽃게,진도,대,kg,90,1.0,45900
2020-03-19,(활)암꽃게,진도,대,kg,130,1.0,49000
2020-03-21,(활)암꽃게,진도,대,kg,140,1.0,51700
2020-03-23,(활)암꽃게,진도,대,kg,30,1.0,36700
2020-03-24,(활)암꽃게,진도,대,kg,60,1.0,47800
2020-03-25,(활)암꽃게,진도,대,kg,340,1.0,43000
2020-03-26,(활)암꽃게,진도,대,kg,110,1.0,46800
2020-03-27,(활)암꽃게,진도,대,kg,60,1.0,50000
2020-03-28,(활)암꽃게,진도,대,kg,410,1.0,46200
2020-04-01,(활)암꽃게,진도,대,kg,260,1.0,43200
2020-04-02,(활)암꽃게,진도,대,kg,78,1.0,46400
2020-04-03,(활)암꽃게,진도,대,kg,379,1.0,48000
2020-04-03,(활)암꽃게,진도,대,kg,1,8.0,190000
2020-04-04,(활)암꽃게,진도,대,kg,192,1.0,52100
2020-04-06,(활)암꽃게,진도,대,kg,210,1.0,48700
2020-04-08,(활)암꽃게,진도,대,kg,113,1.0,52900
2020-04-09,(활)암꽃게,진도,대,kg,490,1.0,44200
2020-04-10,(활)암꽃게,진도,대,kg,120,1.0,41800
2020-04-11,(활)암꽃게,진도,대,kg,320,1.0,46500
2020-04-13,(활)암꽃게,진도,대,kg,270,1.0,46900
2020-04-14,(활)암꽃게,진도,대,kg,502,1.0,46800
2020-04-15,(활)암꽃게,진도,대,kg,145,1.0,52600
2020-04-16,(활)암꽃게,진도,대,kg,385,1.0,50000
2020-04-17,(활)암꽃게,진도,대,kg,245,1.0,50200
2020-04-18,(활)암꽃게,진도,대,kg,20,1.0,57000
2020-04-20,(활)암꽃게,진도,대,kg,275,1.0,54500
2020-04-21,(활)암꽃게,진도,대,kg,192,1.0,55000
2020-04-22,(활)암꽃게,진도,대,kg,190,1.0,50700
2020-04-23,(활)암꽃게,진도,대,kg,210,1.0,53400
2020-04-28,(활)암꽃게,진도,대,kg,130,1.0,49100
2020-04-29,(활)암꽃게,진도,대,kg,20,1.0,55000
2020-04-30,(활)암꽃게,진도,대,kg,390,1.0,57400
2020-05-01,(활)암꽃게,진도,대,kg,559,1.0,52500
2020-05-04,(활)암꽃게,진도,대,kg,278,1.0,59500
2020-05-05,(활)암꽃게,진도,대,kg,380,1.0,55900
2020-05-06,(활)암꽃게,진도,대,kg,50,1.0,50000
2020-05-20,(활)암꽃게,진도,대,kg,70,1.0,55000
2020-10-28,(활)암꽃게,진도,대,kg,10,1.0,5100
2020-10-29,(활)암꽃게,진도,대,kg,10,1.0,7000
2020-11-12,(활)암꽃게,진도,대,kg,150,1.0,9000
2020-11-13,(활)암꽃게,진도,대,kg,220,1.0,23000
2020-11-14,(활)암꽃게,진도,대,kg,890,1.0,13900
2020-11-16,(활)암꽃게,진도,대,kg,140,1.0,19100
2020-11-18,(활)암꽃게,진도,대,kg,30,1.0,24000
2020-11-20,(활)암꽃게,진도,대,kg,80,1.0,18400
2020-11-23,(활)암꽃게,진도,대,kg,108,1.0,27300
2020-11-24,(활)암꽃게,진도,대,kg,140,1.0,21400
2020-11-26,(활)암꽃게,진도,대,kg,430,1.0,14200
2020-11-27,(활)암꽃게,진도,대,kg,10,1.0,24000
2020-11-30,(활)암꽃게,진도,대,kg,40,1.0,18000
2020-12-01,(활)암꽃게,진도,대,kg,512,1.0,12400
2020-12-02,(활)암꽃게,진도,대,kg,299,1.0,13000
2020-12-03,(활)암꽃게,진도,대,kg,450,1.0,10500
2020-12-04,(활)암꽃게,진도,대,kg,125,1.0,16000
2020-12-05,(활)암꽃게,진도,대,kg,150,1.0,15900
2020-12-07,(활)암꽃게,진도,대,kg,545,1.0,11700
2020-12-09,(활)암꽃게,진도,대,kg,170,1.0,11800
2020-12-10,(활)암꽃게,진도,대,kg,100,1.0,13000
2020-12-11,(활)암꽃게,진도,대,kg,100,1.0,13500
2020-12-15,(활)암꽃게,진도,대,kg,230,1.0,13700
2020-12-17,(활)암꽃게,진도,대,kg,100,1.0,26000
2020-12-21,(활)암꽃게,진도,대,kg,60,1.0,13500
2020-12-22,(활)암꽃게,진도,대,kg,10,1.0,23000
2020-12-23,(활)암꽃게,진도,대,kg,30,1.0,22700
2020-12-24,(활)암꽃게,진도,대,kg,110,1.0,31600
2020-12-25,(활)암꽃게,진도,대,kg,164,1.0,28600
2020-12-28,(활)암꽃게,진도,대,kg,90,1.0,17700
2020-12-29,(활)암꽃게,진도,대,kg,160,1.0,23600
2020-12-30,(활)암꽃게,진도,대,kg,200,1.0,33400
2020-12-31,(활)암꽃게,진도,대,kg,340,1.0,32600
2021-01-04,(활)암꽃게,진도,대,kg,518,1.0,27300
2021-01-05,(활)암꽃게,진도,대,kg,616,1.0,18900
2021-01-06,(활)암꽃게,진도,대,kg,347,1.0,27600
2021-01-07,(활)암꽃게,진도,대,kg,425,1.0,17000
2021-01-09,(활)암꽃게,진도,대,kg,255,1.0,23800
2021-01-12,(활)암꽃게,진도,대,kg,149,1.0,28700
2021-01-13,(활)암꽃게,진도,대,kg,50,1.0,36000
2021-01-15,(활)암꽃게,진도,대,kg,20,1.0,42000
2021-01-16,(활)암꽃게,진도,대,kg,50,1.0,41600
2021-01-18,(활)암꽃게,진도,대,kg,130,1.0,36000
2021-01-22,(활)암꽃게,진도,대,kg,80,1.0,42000
2021-01-23,(활)암꽃게,진도,대,kg,390,1.0,34300
2021-01-23,(활)암꽃게,진도,대,kg,10,10.0,35000
2021-01-25,(활)암꽃게,진도,대,kg,210,1.0,33400
2021-01-29,(활)암꽃게,진도,대,kg,20,1.0,43000
2021-02-02,(활)암꽃게,진도,대,kg,20,1.0,43500
2021-02-05,(활)암꽃게,진도,대,kg,50,1.0,44000
2021-02-11,(활)암꽃게,진도,대,kg,50,1.0,47000
2021-03-06,(활)암꽃게,진도,대,kg,94,1.0,49500
2021-03-08,(활)암꽃게,진도,대,kg,301,1.0,41000
2021-03-09,(활)암꽃게,진도,대,kg,75,1.0,46000
2021-03-10,(활)암꽃게,진도,대,kg,334,1.0,43700
2021-03-11,(활)암꽃게,진도,대,kg,126,1.0,45000
2021-03-12,(활)암꽃게,진도,대,kg,113,1.0,49300
2021-03-13,(활)암꽃게,진도,대,kg,193,1.0,54100
2021-03-15,(활)암꽃게,진도,대,kg,243,1.0,48100
2021-03-16,(활)암꽃게,진도,대,kg,333,1.0,41900
2021-03-17,(활)암꽃게,진도,대,kg,458,1.0,37600
2021-03-18,(활)암꽃게,진도,대,kg,588,1.0,36100
2021-03-19,(활)암꽃게,진도,대,kg,70,1.0,44000
2021-03-20,(활)암꽃게,진도,대,kg,260,1.0,47800
2021-03-22,(활)암꽃게,진도,대,kg,190,1.0,45300
2021-03-25,(활)암꽃게,진도,대,kg,60,1.0,54000
2021-03-26,(활)암꽃게,진도,대,kg,211,1.0,52100
2021-03-27,(활)암꽃게,진도,대,kg,147,1.0,55500
2021-03-29,(활)암꽃게,진도,대,kg,590,1.0,44200
2021-03-30,(활)암꽃게,진도,대,kg,560,1.0,40400
2021-03-31,(활)암꽃게,진도,대,kg,1189,1.0,32800
2021-04-01,(활)암꽃게,진도,대,kg,304,1.0,39300
2021-04-02,(활)암꽃게,진도,대,kg,350,1.0,41900
2021-04-03,(활)암꽃게,진도,대,kg,600,1.0,40500
2021-04-05,(활)암꽃게,진도,대,kg,210,1.0,41800
2021-04-06,(활)암꽃게,진도,대,kg,90,1.0,45200
2021-04-07,(활)암꽃게,진도,대,kg,110,1.0,47300
2021-04-08,(활)암꽃게,진도,대,kg,165,1.0,53200
2021-04-09,(활)암꽃게,진도,대,kg,950,1.0,45500
2021-04-10,(활)암꽃게,진도,대,kg,370,1.0,53900
2021-04-12,(활)암꽃게,진도,대,kg,660,1.0,43900
2021-04-13,(활)암꽃게,진도,대,kg,510,1.0,40700
2021-04-14,(활)암꽃게,진도,대,kg,240,1.0,45900
2021-04-15,(활)암꽃게,진도,대,kg,40,1.0,46000
2021-04-17,(활)암꽃게,진도,대,kg,310,1.0,57900
2021-04-19,(활)암꽃게,진도,대,kg,495,1.0,49500
2021-04-20,(활)암꽃게,진도,대,kg,230,1.0,54200
2021-04-21,(활)암꽃게,진도,대,kg,300,1.0,53600
2021-04-23,(활)암꽃게,진도,대,kg,274,1.0,60400
2021-04-24,(활)암꽃게,진도,대,kg,425,1.0,62700
2021-05-03,(활)암꽃게,진도,대,kg,40,1.0,40000
2021-05-04,(활)암꽃게,진도,대,kg,130,1.0,54000
2021-05-22,(활)암꽃게,진도,대,kg,180,1.0,52000
2021-10-18,(활)암꽃게,진도,대,kg,10,1.0,28000
2021-10-26,(활)암꽃게,진도,대,kg,610,1.0,11200
2021-10-28,(활)암꽃게,진도,대,kg,490,1.0,16600
2021-10-29,(활)암꽃게,진도,대,kg,320,1.0,23800
2021-10-30,(활)암꽃게,진도,대,kg,1260,1.0,17600
2021-11-01,(활)암꽃게,진도,대,kg,950,1.0,15600
2021-11-02,(활)암꽃게,진도,대,kg,678,1.0,12600
2021-11-03,(활)암꽃게,진도,대,kg,100,1.0,14500
2021-11-04,(활)암꽃게,진도,대,kg,120,1.0,17200
2021-11-05,(활)암꽃게,진도,대,kg,200,1.0,19500
2021-11-06,(활)암꽃게,진도,대,kg,100,1.0,21600
2021-11-08,(활)암꽃게,진도,대,kg,560,1.0,13700
2021-11-15,(활)암꽃게,진도,대,kg,468,1.0,21800
2021-11-17,(활)암꽃게,진도,대,kg,350,1.0,14900
2021-11-18,(활)암꽃게,진도,대,kg,320,1.0,16500
2021-11-19,(활)암꽃게,진도,대,kg,540,1.0,19500
2021-11-20,(활)암꽃게,진도,대,kg,520,1.0,18000
2021-11-24,(활)암꽃게,진도,대,kg,240,1.0,17600
2021-11-25,(활)암꽃게,진도,대,kg,210,1.0,25900
2021-11-29,(활)암꽃게,진도,대,kg,370,1.0,12200
2021-12-01,(활)암꽃게,진도,대,kg,100,1.0,15400
2021-12-06,(활)암꽃게,진도,대,kg,70,1.0,19600
2021-12-07,(활)암꽃게,진도,대,kg,50,1.0,24000
2021-12-09,(활)암꽃게,진도,대,kg,290,1.0,21500
2021-12-10,(활)암꽃게,진도,대,kg,100,1.0,25500
2021-12-11,(활)암꽃게,진도,대,kg,270,1.0,26800
2021-12-13,(활)암꽃게,진도,대,kg,680,1.0,14700
2021-12-14,(활)암꽃게,진도,대,kg,340,1.0,17000
2021-12-15,(활)암꽃게,진도,대,kg,220,1.0,18000
2021-12-16,(활)암꽃게,진도,대,kg,150,1.0,31500
2021-12-18,(활)암꽃게,진도,대,kg,230,1.0,33800
2021-12-20,(활)암꽃게,진도,대,kg,160,1.0,27400
2021-12-23,(활)암꽃게,진도,대,kg,30,1.0,38000
2021-12-25,(활)암꽃게,진도,대,kg,490,1.0,31100
